date,pol_ru,rank,avg_score
Aug-07,Чемезов Сергей Викторович,20,5.50
Aug-07,Матвиенко Валентина Ивановна,22,5.43
Aug-07,Чубайс Анатолий Боpисович,22,5.43
Aug-07,Абрамович Роман Аркадьевич,24,5.29
Aug-07,Жуков Александр Дмитриевич,25,5.21
Aug-07,Кожин Владимир Игоревич,25,5.21
Aug-07,Шойгу Сеpгей Кужугетович,25,5.21
Aug-07,Алекперов Вагит Юсуфович,28,5.14
Aug-07,Лавров Сергей Викторович,28,5.14
Aug-07,Ковальчук Юрий Валентинович,30,5.07
Aug-07,Ткачев Александр Николаевич,31,5.00
Aug-07,Зурабов Михаил Юрьевич,32,4.93
Aug-07,Нургалиев Рашид Гумарович,32,4.93
Aug-07,Володин Вячеслав Викторович,34,4.86
Aug-07,Гордеев Алексей Васильевич,34,4.86
Aug-07,Черкесов Виктор Васильевич,34,4.86
Aug-07,Шувалов Игорь Иванович,34,4.86
Aug-07,Козак Дмитрий Николаевич,38,4.79
Aug-07,Рейман Леонид Дододжонович,38,4.79
Aug-07,Фридман Михаил Маратович,38,4.79
Aug-07,Богданчиков Сергей Михайлович,41,4.71
Aug-07,Евтушенков Владимир Петрович,41,4.71
Aug-07,Потанин Владимир Олегович,41,4.71
Aug-07,Эрнст Константин Львович,41,4.71
Aug-07,Добродеев Олег Борисович,45,4.64
Aug-07,Зюганов Геннадий Андpеевич,45,4.64
Aug-07,Шаймиев Минтимеp Шаpипович,45,4.64
Aug-07,Вайншток Семен Михайлович,48,4.43
Aug-07,Игнатьев Сергей Михайлович,48,4.43
Aug-07,Христенко Виктор Борисович,48,4.43
Aug-07,Чайка Юрий Яковлевич,48,4.43
Aug-07,Кириенко Сергей Владиленович,52,4.36
Aug-07,Левитин Игорь Евгеньевич,52,4.36
Aug-07,Приходько Сергей Эдуардович,52,4.36
Aug-07,Кадыров Рамзан Ахматович,55,4.29
Aug-07,Мордашов Алексей Александрович,55,4.29
Aug-07,Сердюков Анатолий Эдуардович,55,4.29
Aug-07,Жириновский Владимир Вольфович,58,4.21
Aug-07,Костин Андрей Леонидович,58,4.21
Aug-07,Трутнев Юрий Петрович,58,4.21
Aug-07,Фурсенко Андрей Александрович,61,4.07
Aug-07,Дворкович Аркадий Владимирович,62,4.00
Aug-07,Казьмин Андрей Ильич,62,4.00
Aug-07,Полтавченко Георгий Сергеевич,62,4.00
Aug-07,Рахимов Муртаза Губайдуллович,62,4.00
Aug-07,Волошин Александр Стальевич,66,3.93
Aug-07,Громов Борис Всеволодович,66,3.93
Aug-07,Клебанов Илья Иосифович,66,3.93
Aug-07,Степашин Сергей Вадимович,66,3.93
Aug-07,Хлопонин Александр Геннадиевич,66,3.93
Aug-07,Кирилл (Патриарх Московский и всея Руси),71,3.86
Aug-07,Лебедев Вячеслав Михайлович,71,3.86
Aug-07,Чуров Владимир Евгеньевич,71,3.86
Aug-07,Абрамов Александр Сергеевич,74,3.79
Aug-07,Устинов Владимир Васильевич,74,3.79
Aug-07,Авен Петр Олегович,76,3.71
Aug-07,Артемьев Игорь Юрьевич,76,3.71
Aug-07,Коновалов Александр Владимирович,76,3.71
Aug-07,Исхаков Камиль Шамильевич,79,3.64
Aug-07,Шанцев Валерий Павлинович,80,3.57
Aug-07,Поллыева Джахан Реджеповна,81,3.50
Aug-07,Бельянинов Андрей Юрьевич,82,3.43
Aug-07,Говорун Олег Маркович,82,3.43
Aug-07,Ресин Владимир Иосифович,84,3.42
Aug-07,Тулеев Амангельды Молдагазыевич,84,3.42
Aug-07,Ястржембский Сергей Владимирович,86,3.36
Aug-07,Морозов Олег Викторович,87,3.29
Aug-07,Васильев Владимир Абдуалиевич,88,3.21
Aug-07,Зорькин Валерий Дмитриевич,88,3.21
Aug-07,Зубков Виктор Алексеевич,88,3.21
Aug-07,Плигин Владимир Николаевич,88,3.21
Aug-07,Балуевский Юрий Николаевич,92,3.07
Aug-07,Яковлев Владимир Анатольевич,92,3.07
Aug-07,Алешин Борис Сергеевич,94,3.00
Aug-07,Бабаков Александр Михайлович,94,3.00
Aug-07,Зеленин Дмитрий Вадимович,94,3.00
Aug-07,Косачев Константин Иосифович,94,3.00
Aug-07,Латышев Петр Михайлович,94,3.00
Aug-07,Пехтин Владимир Алексеевич,94,3.00
Aug-07,Резник Владислав Матусович,94,3.00
Aug-07,Торшин Александр Порфирьевич,94,3.00
Sep-07,Путин Владимир Владимирович,1,9.76
Sep-07,Иванов Сергей Борисович,2,7.59
Sep-07,Сечин Игорь Иванович,3,7.47
Sep-07,Зубков Виктор Алексеевич,4,7.24
Sep-07,Медведев Дмитрий Анатольевич,5,7.06
Sep-07,Сурков Владислав Юрьевич,6,7.00
Sep-07,Собянин Сергей Семенович,7,6.71
Sep-07,Патрушев Николай Платонович,8,6.59
Sep-07,Кудрин Алексей Леонидович,9,6.06
Sep-07,Иванов Виктор Петрович,10,5.88
Sep-07,Якунин Владимир Иванович,10,5.88
Sep-07,Лужков Юpий Михайлович,12,5.82
Sep-07,Алексий II,13,5.71
Sep-07,Грызлов Борис Вячеславович,14,5.65
Sep-07,Миронов Сергей Михайлович,14,5.65
Sep-07,Миллер Алексей Борисович,16,5.59
Sep-07,Нарышкин Сергей Евгеньевич,16,5.59
Sep-07,Чемезов Сергей Викторович,18,5.41
Sep-07,Чубайс Анатолий Боpисович,18,5.41
Sep-07,Дерипаска Олег Владимирович,20,5.29
Sep-07,Шойгу Сеpгей Кужугетович,21,5.18
Sep-07,Абрамович Роман Аркадьевич,22,5.12
Sep-07,Сердюков Анатолий Эдуардович,22,5.12
Sep-07,Матвиенко Валентина Ивановна,24,5.06
Sep-07,Греф Герман Оскарович,25,5.00
Sep-07,Нургалиев Рашид Гумарович,25,5.00
Sep-07,Эрнст Константин Львович,27,4.94
Sep-07,Алекперов Вагит Юсуфович,28,4.88
Sep-07,Лавров Сергей Викторович,28,4.88
Sep-07,Чайка Юрий Яковлевич,28,4.88
Sep-07,Козак Дмитрий Николаевич,31,4.82
Sep-07,Шувалов Игорь Иванович,31,4.82
Sep-07,Громов Алексей Алексеевич,33,4.76
Sep-07,Кожин Владимир Игоревич,33,4.76
Sep-07,Добродеев Олег Борисович,35,4.65
Sep-07,Потанин Владимир Олегович,35,4.65
Sep-07,Ткачев Александр Николаевич,37,4.59
Sep-07,Шаймиев Минтимеp Шаpипович,37,4.59
Sep-07,Фридман Михаил Маратович,39,4.53
Sep-07,Чуров Владимир Евгеньевич,39,4.53
Sep-07,Богданчиков Сергей Михайлович,41,4.47
Sep-07,Ковальчук Юрий Валентинович,41,4.47
Sep-07,Приходько Сергей Эдуардович,41,4.47
Sep-07,Евтушенков Владимир Петрович,44,4.41
Sep-07,Жуков Александр Дмитриевич,44,4.41
Sep-07,Мордашов Алексей Александрович,44,4.41
Sep-07,Фрадков Михаил Ефимович,44,4.41
Sep-07,Володин Вячеслав Викторович,48,4.35
Sep-07,Игнатьев Сергей Михайлович,48,4.35
Sep-07,Черкесов Виктор Васильевич,50,4.29
Sep-07,Вайншток Семен Михайлович,51,4.24
Sep-07,Рейман Леонид Дододжонович,52,4.18
Sep-07,Христенко Виктор Борисович,52,4.18
Sep-07,Кирилл (Патриарх Московский и всея Руси),54,4.12
Sep-07,Гордеев Алексей Васильевич,55,4.06
Sep-07,Казьмин Андрей Ильич,55,4.06
Sep-07,Кадыров Рамзан Ахматович,57,4.00
Sep-07,Устинов Владимир Васильевич,57,4.00
Sep-07,Дворкович Аркадий Владимирович,59,3.94
Sep-07,Жириновский Владимир Вольфович,59,3.94
Sep-07,Зюганов Геннадий Андpеевич,59,3.94
Sep-07,Трутнев Юрий Петрович,59,3.94
Sep-07,Кириенко Сергей Владиленович,63,3.88
Sep-07,Степашин Сергей Вадимович,64,3.82
Sep-07,Костин Андрей Леонидович,65,3.76
Sep-07,Полтавченко Георгий Сергеевич,65,3.76
Sep-07,Рахимов Муртаза Губайдуллович,65,3.76
Sep-07,Левитин Игорь Евгеньевич,68,3.71
Sep-07,Хлопонин Александр Геннадиевич,68,3.71
Sep-07,Абрамов Александр Сергеевич,70,3.65
Sep-07,Громов Борис Всеволодович,70,3.65
Sep-07,Авен Петр Олегович,72,3.59
Sep-07,Балуевский Юрий Николаевич,73,3.53
Sep-07,Зурабов Михаил Юрьевич,74,3.47
Sep-07,Клебанов Илья Иосифович,74,3.47
Sep-07,Лебедев Вячеслав Михайлович,74,3.47
Sep-07,Фурсенко Андрей Александрович,74,3.47
Sep-07,Шанцев Валерий Павлинович,74,3.47
Sep-07,Волошин Александр Стальевич,79,3.41
Sep-07,Зорькин Валерий Дмитриевич,80,3.35
Sep-07,Пpимаков Евгений Максимович,81,3.24
Sep-07,Тулеев Амангельды Молдагазыевич,81,3.24
Sep-07,Бельянинов Андрей Юрьевич,83,3.12
Sep-07,Говорун Олег Маркович,83,3.12
Sep-07,Исхаков Камиль Шамильевич,83,3.12
Sep-07,Морозов Олег Викторович,83,3.12
Sep-07,Ресин Владимир Иосифович,83,3.12
Sep-07,Артемьев Игорь Юрьевич,88,3.06
Sep-07,Пугачев Сергей Викторович,88,3.06
Sep-07,Алешин Борис Сергеевич,90,3.00
Sep-07,Васильев Владимир Абдуалиевич,90-94,3.00
Sep-07,Поллыева Джахан Реджеповна,90-94,3.00
Sep-07,Ромодановский Константин Олегович,90-94,3.00
Sep-07,Ястржембский Сергей Владимирович,90-94,3.00
Sep-07,Бабаков Александр Михайлович,95-99,2.94
Sep-07,Коновалов Александр Владимирович,95-99,2.94
Sep-07,Косачев Константин Иосифович,95-99,2.94
Sep-07,Латышев Петр Михайлович,95-99,2.94
Sep-07,Плигин Владимир Николаевич,95-99,2.94
Sep-07,Исаев Андрей Константинович,100-102,2.82
Sep-07,Торшин Александр Порфирьевич,100-102,2.82
Sep-07,Швыдкой Михаил Ефимович,100-102,2.82
Oct-07,Путин Владимир Владимирович,1,9.94
Oct-07,Сечин Игорь Иванович,2,7.56
Oct-07,Кудрин Алексей Леонидович,3,7.06
Oct-07,Зубков Виктор Алексеевич,4–5,7.00
Oct-07,Сурков Владислав Юрьевич,4–5,7.00
Oct-07,Медведев Дмитрий Анатольевич,6,6.88
Oct-07,Иванов Сергей Борисович,7,6.63
Oct-07,Собянин Сергей Семенович,8,6.56
Oct-07,Патрушев Николай Платонович,9,6.44
Oct-07,Алексий II,10,6.13
Oct-07,Козак Дмитрий Николаевич,11,6.06
Oct-07,Иванов Виктор Петрович,12,6.00
Oct-07,Миллер Алексей Борисович,13–14,5.75
Oct-07,Якунин Владимир Иванович,13–14,5.75
Oct-07,Грызлов Борис Вячеславович,15–17,5.56
Oct-07,Лужков Юpий Михайлович,15–17,5.56
Oct-07,Чемезов Сергей Викторович,15–17,5.56
Oct-07,Сердюков Анатолий Эдуардович,18,5.31
Oct-07,Дерипаска Олег Владимирович,19–20,5.19
